name,female,male,year
Abshir,0,15,2016
Abshira,3,0,2016
Abshiro,4,0,2016
Abtin,0,5,2016
Abu,0,36,2016
Abubakar,0,24,2016
Abubaker,0,11,2016
Abubakr,0,9,2016
Abubeker,0,6,2016
Abukar,0,39,2016
Abul,0,20,2016
Abulfaz,0,3,2016
Abulfazel,0,3,2016
Abulfazl,0,7,2016
Abundio,0,3,2016
Abuukar,0,11,2016
Abuzar,0,6,2016
Abuzer,0,46,2016
Aby,16,4,2016
Abyan,0,5,2016
Abyel,0,3,2016
Abygael,3,0,2016
Abygaelle,7,0,2016
Abygail,5,0,2016
Abygaël,8,0,2016
Abygaëlle,21,0,2016
Abílio,0,77,2016
Aca,0,46,2016
Acacia,6,0,2016
Acacio,0,87,2016
Accursia,7,0,2016
Accursio,0,7,2016
Ace,0,18,2016
Acelya,33,0,2016
Achamma,3,0,2016
Achara,5,0,2016
Achchuthan,0,3,2016
Achi,0,3,2016
Achil,0,5,2016
Achile,0,5,2016
Achill,0,15,2016
Achille,0,403,2016
Achilleas,0,31,2016
Achillefs,0,13,2016
Achilles,0,60,2016
Achilleus,0,3,2016
Achim,0,393,2016
Achmad,0,3,2016
Achmed,0,15,2016
Achouak,3,0,2016
Achour,0,10,2016
Achraf,0,50,2016
Achta,3,0,2016
Achuthan,0,5,2016
Acif,0,8,2016
Acim,0,8,2016
Aco,0,74,2016
Acsa,3,0,2016
Acácio,0,46,2016
Ada,738,13,2016
Ada-Maria,6,0,2016
Adacio,0,3,2016
Adaeze,7,0,2016
Adah,3,0,2016
Adaja,4,0,2016
Adal,0,8,2016
Adalbert,0,147,2016
Adalberta,5,0,2016
Adalberto,0,51,2016
Adalet,24,0,2016
Adaleta,14,0,2016
Adalgisa,69,0,2016
Adalgiza,3,0,2016
Adalia,3,0,2016
Adalina,11,0,2016
Adalsteinn,0,3,2016
Adam,0,2365,2016
Adama,33,43,2016
Adamantia,8,0,2016
Adamantios,0,5,2016
Adamastor,0,4,2016
Adame,0,4,2016
Adamina,3,0,2016
Adamo,0,109,2016
Adams,0,13,2016
Adamu,0,3,2016
Adan,0,64,2016
Adana,5,0,2016
Adane,0,3,2016
Adanech,3,0,2016
Adanna,3,0,2016
Adao,0,79,2016
Adaora,4,0,2016
Adar,11,53,2016
Adara,6,0,2016
Adarsh,0,10,2016
Aday,0,5,2016
Adaya,4,0,2016
Adchara,3,0,2016
Adchaya,3,0,2016
Adchayan,0,3,2016
Adda,6,4,2016
Adderly,0,3,2016
Addis,6,6,2016
Addisalem,5,0,2016
Addison,14,4,2016
Addisu,0,5,2016
Addolorata,229,0,2016
Addy,6,0,2016
Ade,3,6,2016
Adea,131,0,2016
Adebayo,0,8,2016
Adedayo,0,4,2016
Adeeb,0,5,2016
Adeeba,3,0,2016
Adeebah,3,0,2016
Adeel,0,15,2016
Adeela,4,0,2016
Adeilza,3,0,2016
Adel,19,467,2016
Adela,360,0,2016
Adelaid,3,0,2016
Adelaida,37,0,2016
Adelaide,293,0,2016
Adelaïde,44,0,2016
Adelbert,0,147,2016
Adelchi,0,5,2016
Adele,707,0,2016
Adeleh,6,0,2016
Adelfa,5,0,2016
Adelfina,4,0,2016
Adelgisa,3,0,2016
Adelgunde,15,0,2016
Adelhaid,13,0,2016
Adelhaide,3,0,2016
Adelheid,8793,0,2016
Adelheide,3,0,2016
Adelheit,22,0,2016
Adelia,127,0,2016
Adelie,3,0,2016
Adelin,7,11,2016
Adelina,1302,0,2016
Adelinda,8,0,2016
Adelinde,20,0,2016
Adeline,803,0,2016
Adelino,0,373,2016
Adelinë,9,0,2016
Adelio,0,66,2016
Adelisa,83,0,2016
Adelita,8,0,2016
Adeljina,20,0,2016
Adelma,12,0,2016
Adelmina,5,0,2016
Adelmo,0,19,2016
Adelon,0,12,2016
Adelrich,0,86,2016
Adeltraut,3,0,2016
Adelya,5,0,2016
Adelyn,8,0,2016
Adelyne,5,0,2016
Adem,0,1047,2016
Adema,7,0,2016
Ademar,0,23,2016
Ademir,0,11,2016
Ademsafi,0,4,2016
Aden,4,30,2016
Adena,6,0,2016
Adenilson,0,3,2016
Adenis,0,6,2016
Adenisa,4,0,2016
Aderemi,0,3,2016
Aderito,0,35,2016
Adesa,10,0,2016
Adesuwa,3,0,2016
Adetola,3,0,2016
Adevija,4,0,2016
Adeviye,4,0,2016
Adewale,0,5,2016
Adeyemi,0,6,2016
Adham,0,36,2016
Adhanet,23,0,2016
Adhanom,0,24,2016
Adhira,3,0,2016
Adhrit,0,3,2016
Adhuresa,11,0,2016
Adhurim,0,90,2016
Adi,14,76,2016
Adia,15,0,2016
Adiam,68,0,2016
Adian,0,17,2016
Adiat,0,4,2016
Adib,0,30,2016
Adiba,13,0,2016
Adiel,0,8,2016
Adife,3,0,2016
Adifet,19,0,2016
Adifete,52,0,2016
Adija,5,0,2016
Adijan,0,8,2016
Adijat,0,6,2016
Adije,11,0,2016
Adil,0,360,2016
Adila,57,0,2016
Adilan,3,0,2016
Adile,141,0,2016
Adilia,43,0,2016
Adilio,0,3,2016
Adilj,0,19,2016
Adilja,3,0,2016
Adilje,19,0,2016
Adilka,6,0,2016
Adilon,0,10,2016
Adilson,0,49,2016
Adin,0,121,2016
Adina,429,0,2016
Adina-Maria,3,0,2016
Adinda,5,0,2016
Adine,9,0,2016
Adira,5,0,2016
Adis,7,370,2016
Adisa,220,0,2016
Adisak,0,7,2016
Adish,0,3,2016
Adisha,5,0,2016
Adison,0,5,2016
Adisorn,0,3,2016
Adissa,5,0,2016
Adit,0,5,2016
Adithya,0,6,2016
Adithyan,0,3,2016
Aditi,39,0,2016
Aditya,0,64,2016
Adiva,3,0,2016
Adivije,4,0,2016
Adiya,5,0,2016
Adiyam,4,0,2016
Adiza,3,0,2016
Adja,17,0,2016
Adjer,13,0,2016
Adjera,3,0,2016
Adjere,14,0,2016
Adjerka,3,0,2016
Adji,4,9,2016
Adjmal,0,4,2016
Adjo,15,0,2016
Adjoa,13,0,2016
Adjoua,17,0,2016
Adjovi,7,0,2016
Adjowa,4,0,2016
Adjélé,3,0,2016
Adla,14,0,2016
Adlan,0,10,2016
Adlane,0,6,2016
Adlen,0,4,2016
Adler,0,3,2016
Adlin,3,0,2016
Adlina,3,0,2016
Adline,8,0,2016
Adly,0,8,2016
Adma,3,0,2016
Admilson,0,4,2016
Admin,0,8,2016
Admir,0,465,2016
Admira,99,0,2016
Admire,20,0,2016
Admirim,0,7,2016
Adna,90,0,2016
Adnan,0,1201,2016
Adnana,9,0,2016
Adnand,0,3,2016
Adnane,0,16,2016
Adnela,3,0,2016
Adnen,0,5,2016
Adnene,0,4,2016
Adni,0,6,2016
Adnit,0,19,2016
Adnon,0,5,2016
Ado,0,25,2016
Adoindo,0,3,2016
Adolf,0,2361,2016
Adolfa,4,0,2016
Adolfina,20,0,2016
Adolfine,29,0,2016
Adolfo,0,279,2016
Adolina,3,0,2016
Adolph,0,9,2016
Adolphe,0,75,2016
Adolphine,6,0,2016
Adolphus,0,3,2016
Adom,0,5,2016
Adomas,0,4,2016
Adon,0,4,2016
Adonai,0,14,2016
Adonay,0,47,2016
Adonaï,0,5,2016
Adonella,7,0,2016
Adoni,0,4,2016
Adonia,10,3,2016
Adonias,0,3,2016
Adonina,3,0,2016
Adonis,0,175,2016
Adonisa,11,0,2016
Adonit,0,8,2016
Adony,0,3,2016
Ador,0,6,2016
Adora,8,0,2016
Adoracion,21,0,2016
Adorján,0,3,2016
Adosinda,30,0,2016
Adozinda,6,0,2016
Adra,5,0,2016
Adrean,0,8,2016
Adri,0,8,2016
Adria,27,7,2016
Adriaan,0,62,2016
Adrian,0,16697,2016
Adriana,3811,0,2016
Adriana-Maria,3,0,2016
Adriane,61,0,2016
Adriani,3,0,2016
Adriann,0,3,2016
Adrianna,49,0,2016
Adrianne,19,0,2016
Adriano,0,2514,2016
Adrianos,0,3,2016
Adrianus,0,68,2016
Adriatik,0,82,2016
Adriel,0,78,2016
Adriele,4,4,2016
Adrielle,5,0,2016
Adrielly,3,0,2016
Adriely,3,0,2016
Adrien,0,2904,2016
Adriene,3,0,2016
Adrienn,91,0,2016
Adrienne,761,0,2016
Adrija,4,0,2016
Adrijan,0,87,2016
Adrijana,134,0,2016
Adrijatik,0,4,2016
Adrijon,0,3,2016
Adrin,0,3,2016
Adrina,7,0,2016
Adrine,3,0,2016
Adrion,0,5,2016
Adris,0,3,2016
Adrit,0,3,2016
Adrita,5,0,2016
Adrià,0,7,2016
Adriàn,0,3,2016
Adrián,0,80,2016
Adriána,17,0,2016
Adriël,0,3,2016
Adryan,0,10,2016
Adryen,0,4,2016
Adsaya,11,0,2016
Adshara,4,0,2016
Adshaya,8,0,2016
Adshayaa,3,0,2016
Adshayan,0,9,2016
Adson,0,4,2016
Adua,24,0,2016
